scenario,seed,episode,t_event,retrieval_arm,p_min,p_min_oracle,delta_p_min,under_reservation,over_reservation,fallback_used,unsafe_under_reservation,D_proj,reward,violation,z_mode,verifier_on
S6_moderate_decay,43,0,0,field_CER_z,40,40,0,0,0,false,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,0,250,field_CER_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,1,0,field_CER_z,40,40,0,0,0,false,false,0,1.3476260928743338,false,cer,true
S6_moderate_decay,43,1,250,field_CER_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,2,0,field_CER_z,40,40,0,0,0,false,false,0,1.3854474543446258,false,cer,true
S6_moderate_decay,43,2,250,field_CER_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,3,0,field_CER_z,40,40,0,0,0,false,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,3,250,field_CER_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,4,0,field_CER_z,40,40,0,0,0,false,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,4,250,field_CER_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,44,0,0,field_CER_z,40,40,0,0,0,false,false,20,1.5004835969451102,false,cer,true
S6_moderate_decay,44,0,250,field_CER_z,60,60,0,0,0,false,false,0,0.5,false,cer,true
S6_moderate_decay,44,1,0,field_CER_z,40,40,0,0,0,false,false,20,1.3476260928743338,false,cer,true
S6_moderate_decay,44,1,250,field_CER_z,60,60,0,0,0,false,false,0,0.749218684112871,false,cer,true
S6_moderate_decay,44,2,0,field_CER_z,40,40,0,0,0,false,false,20,1.3854474543446258,false,cer,true
S6_moderate_decay,44,2,250,field_CER_z,60,60,0,0,0,false,false,0,0.5,false,cer,true
S6_moderate_decay,44,3,0,field_CER_z,40,40,0,0,0,false,false,20,1.5275737151797555,false,cer,true
S6_moderate_decay,44,3,250,field_CER_z,60,60,0,0,0,false,false,0,0.5,false,cer,true
S6_moderate_decay,44,4,0,field_CER_z,40,40,0,0,0,false,false,20,1.513319544273078,false,cer,true
S6_moderate_decay,44,4,250,field_CER_z,60,60,0,0,0,false,false,0,0.5,false,cer,true
