arm,n,evidence_recall_at5,field_accuracy_mean,channel_margin_policy_accuracy,reliability_target_accuracy,spec_validity,fallback,mean_abs_delta_p_min,under_reservation_rate,mean_under_reservation_prb,over_reservation_rate,mean_over_reservation_prb
no_retrieval,7,0.0,0.7142857142857143,0.14285714285714285,0.7142857142857143,1.0,0.0,7.142857142857143,0.42857142857142855,7.142857142857143,0.0,0.0
ordinary_rag_intent_only,7,0.17857142857142858,0.5714285714285714,0.14285714285714285,0.14285714285714285,1.0,0.0,7.142857142857143,0.42857142857142855,7.142857142857143,0.0,0.0
state_aware_rag,7,0.511904761904762,0.8571428571428572,0.5714285714285714,0.8571428571428571,1.0,0.0,2.857142857142857,0.14285714285714285,2.857142857142857,0.0,0.0
field_aware_cer,7,0.7023809523809524,0.9285714285714286,0.8571428571428571,0.8571428571428571,1.0,0.0,7.142857142857143,0.0,0.0,0.14285714285714285,7.142857142857143
cer_verifier_solver,7,0.7023809523809524,0.9285714285714286,0.8571428571428571,0.8571428571428571,1.0,0.0,7.142857142857143,0.0,0.0,0.14285714285714285,7.142857142857143
