arm,n,evidence_recall_at5,formula_accuracy,reliability_target_accuracy,channel_margin_policy_accuracy,service_rule_accuracy,field_accuracy_mean,spec_validity,mean_abs_delta_p_min,under_reservation_rate,mean_under_reservation_prb,mean_over_reservation_prb
no_retrieval,5,0.0,1.0,0.6,0.2,1.0,0.7,1.0,6.0,0.0,0.0,6.0
ordinary_rag_intent_only,5,0.65,1.0,0.6,0.8,1.0,0.8500000000000001,1.0,14.0,0.0,0.0,14.0
state_aware_rag,5,0.8,1.0,0.8,1.0,1.0,0.95,1.0,0.0,0.0,0.0,0.0
field_aware_cer,5,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
cer_verifier_solver,5,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
