scenario,method,n_runs,seeds,paper_usable,quick_any,reward,reward_mean,reward_std,reward_n,urllc_violation_rate,urllc_violation_rate_mean,urllc_violation_rate_std,urllc_violation_rate_n,mean_D_proj,mean_D_proj_mean,mean_D_proj_std,mean_D_proj_n,shield_correction_rate,shield_correction_rate_mean,shield_correction_rate_std,shield_correction_rate_n,adaptation_delay,adaptation_delay_mean,adaptation_delay_std,adaptation_delay_n,fallback_rate,fallback_rate_mean,fallback_rate_std,fallback_rate_n,unsafe_under_reservation_rate,unsafe_under_reservation_rate_mean,unsafe_under_reservation_rate_std,unsafe_under_reservation_rate_n,p_min_parity_rate,p_min_parity_rate_mean,p_min_parity_rate_std,p_min_parity_rate_n,mean_abs_delta_p_min_vs_oracle,mean_abs_delta_p_min_vs_oracle_mean,mean_abs_delta_p_min_vs_oracle_std,mean_abs_delta_p_min_vs_oracle_n,mean_under_reservation_prb,mean_under_reservation_prb_mean,mean_under_reservation_prb_std,mean_under_reservation_prb_n,mean_over_reservation_prb,mean_over_reservation_prb_mean,mean_over_reservation_prb_std,mean_over_reservation_prb_n
S6_moderate_decay,M5_constraint_aware,3,42 43 44,true,false,0.7339 ± 0.0107,0.7338849993924943,0.01074868105857194,3,0.0676 ± 0.0028,0.06760000000000001,0.002847220867208352,3,23.3040 ± 6.9433,23.304000000000002,6.943265706183701,3,0.3461 ± 0.0847,0.34613333333333335,0.08467307062395275,3,1.4000 ± 1.9799,1.4000000000000001,1.9798989873223332,3,0.0000 ± 0.0000,0.0,0.0,3,0.0000 ± 0.0000,0.0,0.0,3,1.0000 ± 0.0000,1.0,0.0,3,0.0000 ± 0.0000,0.0,0.0,3,0.0000 ± 0.0000,0.0,0.0,3,0.0000 ± 0.0000,0.0,0.0,3
S6_moderate_decay,M6_field_CER_z,3,42 43 44,true,false,0.7339 ± 0.0107,0.7338849993924943,0.01074868105857194,3,0.0676 ± 0.0028,0.06760000000000001,0.002847220867208352,3,23.3040 ± 6.9433,23.304000000000002,6.943265706183701,3,0.3461 ± 0.0847,0.34613333333333335,0.08467307062395275,3,1.4000 ± 1.9799,1.4000000000000001,1.9798989873223332,3,0.0000 ± 0.0000,0.0,0.0,3,0.0000 ± 0.0000,0.0,0.0,3,1.0000 ± 0.0000,1.0,0.0,3,0.0000 ± 0.0000,0.0,0.0,3,0.0000 ± 0.0000,0.0,0.0,3,0.0000 ± 0.0000,0.0,0.0,3
