scenario,metric,seed42_delta,seed43_delta,seed44_delta,mean_delta,std_delta,n_valid,improvement_direction
S3_channel_decay,reward,0.0019769512691842905,0.001887309107681645,0.0017269191089259728,0.0018637264952639694,0.00010342831655206745,3,positive
S3_channel_decay,urllc_violation_rate,0.0,0.0,0.0,0.0,0.0,3,negative
S3_channel_decay,mean_D_proj,34.70400000000001,28.552000000000007,-1.4879999999999711,20.589333333333347,15.811773278864768,3,negative
S3_channel_decay,shield_correction_rate,0.0,-0.00039999999999995595,0.0016000000000000458,0.00040000000000002994,0.0008640987597877223,3,negative
S3_channel_decay,adaptation_delay,,,,,,0,negative
S4_sla_upgrade,reward,0.047847032481661445,-0.008193135612849178,-0.0033916300348804107,0.012087422277977286,0.025361728455731487,3,positive
S4_sla_upgrade,urllc_violation_rate,-0.03399999999999999,0.0030000000000000027,0.008999999999999994,-0.007333333333333331,0.019014614262602206,3,negative
S4_sla_upgrade,mean_D_proj,-42.91999999999999,-38.19999999999999,-1.2199999999999918,-27.44666666666666,18.64489444563548,3,negative
S4_sla_upgrade,shield_correction_rate,-0.20199999999999996,-0.007000000000000117,0.030999999999999917,-0.059333333333333384,0.10206642717150209,3,negative
S4_sla_upgrade,adaptation_delay,,,,,,0,negative
S5_combined,reward,0.028980652805054408,-0.054754243841898254,-0.009450192254243539,-0.011741261097029129,0.03422299398991608,3,positive
S5_combined,urllc_violation_rate,-0.017199999999999993,0.012399999999999967,0.009999999999999953,0.001733333333333309,0.013423693811896745,3,negative
S5_combined,mean_D_proj,10.399999999999977,-5.711999999999996,-28.576000000000008,-7.962666666666675,15.991274065008769,3,negative
S5_combined,shield_correction_rate,-0.09879999999999989,0.07919999999999994,0.054400000000000115,0.011600000000000055,0.07871840106777232,3,negative
S5_combined,adaptation_delay,,-70.0,,-70.0,0.0,1,negative
S6_moderate_decay,reward,-0.0199976664342828,-0.002571878487039214,-0.09528196142233591,-0.039283835447885974,0.04023064425603405,3,positive
S6_moderate_decay,urllc_violation_rate,-0.0007999999999999952,0.0003999999999999976,0.0476,0.015733333333333335,0.022538460955047978,3,negative
S6_moderate_decay,mean_D_proj,-9.767999999999997,-17.680000000000003,6.255999999999997,-7.064000000000001,9.957132652860794,3,negative
S6_moderate_decay,shield_correction_rate,-0.08320000000000005,-0.16119999999999998,-0.0036000000000000476,-0.0826666666666667,0.06434103580833064,3,negative
S6_moderate_decay,adaptation_delay,0.0,0.0,3.4000000000000004,1.1333333333333335,1.6027753706895078,3,negative
